Symbol,Time
IWM,2021-08-05T21:12:12.962260Z
SPY,2021-08-05T21:10:49.100657Z
QQQ,2021-08-05T21:09:42.922478Z
ARKX,2021-08-05T21:08:36.666538Z
ARKF,2021-08-05T21:07:30.602321Z
ARKK,2021-08-05T21:06:12.827035Z
M2K,2021-08-05T21:04:49.047002Z
MES,2021-08-05T21:03:54.956493Z
MNQ,2021-08-05T21:03:27.441185Z
IWM,2021-08-05T00:47:40.315291Z
SPY,2021-08-05T00:46:58.328990Z
QQQ,2021-08-05T00:46:10.553154Z
ARKX,2021-08-05T00:45:52.520606Z
ARKF,2021-08-05T00:44:58.203680Z
ARKK,2021-08-05T00:44:10.442266Z
M2K,2021-08-05T00:43:52.688299Z
MES,2021-08-05T00:42:52.649955Z
MNQ,2021-08-05T00:41:53.054990Z
IWM,2021-08-03T21:29:50.637382Z
SPY,2021-08-03T21:28:26.665264Z
QQQ,2021-08-03T21:27:20.586426Z
ARKX,2021-08-03T21:26:14.691241Z
ARKF,2021-08-03T21:25:08.588148Z
ARKK,2021-08-03T21:23:50.975440Z
M2K,2021-08-03T21:22:26.513491Z
MES,2021-08-03T21:21:32.379343Z
MNQ,2021-08-03T21:20:50.629690Z
IWM,2021-08-03T00:13:40.034656Z
SPY,2021-08-03T00:12:46.057977Z
QQQ,2021-08-03T00:11:57.936217Z
ARKX,2021-08-03T00:11:40.181075Z
ARKF,2021-08-03T00:10:45.748555Z
ARKK,2021-08-03T00:09:58.119779Z
M2K,2021-08-03T00:09:40.426884Z
MES,2021-08-03T00:08:40.407807Z
MNQ,2021-08-03T00:07:40.298520Z
IWM,2021-07-30T23:42:32.881526Z
SPY,2021-07-30T23:41:32.586434Z
QQQ,2021-07-30T23:39:50.990719Z
ARKX,2021-07-30T23:38:38.514514Z
ARKF,2021-07-30T23:37:32.482306Z
ARKK,2021-07-30T23:36:08.960133Z
M2K,2021-07-30T23:34:45.345248Z
MES,2021-07-30T23:32:51.197516Z
MNQ,2021-07-30T23:31:02.778695Z
IWM,2021-07-29T21:29:53.096126Z
SPY,2021-07-29T21:28:29.140049Z
QQQ,2021-07-29T21:27:23.275733Z
ARKX,2021-07-29T21:26:17.074704Z
ARKF,2021-07-29T21:25:11.059560Z
ARKK,2021-07-29T21:23:53.657127Z
M2K,2021-07-29T21:22:29.192041Z
MES,2021-07-29T21:21:35.132151Z
MNQ,2021-07-29T21:20:47.458145Z
IWM,2021-07-29T00:45:00.286586Z
SPY,2021-07-29T00:44:06.250076Z
QQQ,2021-07-29T00:43:18.487531Z
ARKX,2021-07-29T00:43:00.282305Z
ARKF,2021-07-29T00:42:06.209769Z
ARKK,2021-07-29T00:41:18.630755Z
M2K,2021-07-29T00:41:00.719897Z
MES,2021-07-29T00:40:00.651306Z
MNQ,2021-07-29T00:39:00.646814Z
IWM,2021-07-27T22:34:33.969650Z
SPY,2021-07-27T22:33:33.633650Z
QQQ,2021-07-27T22:31:57.883130Z
ARKX,2021-07-27T22:30:45.952942Z
ARKF,2021-07-27T22:29:39.906304Z
ARKK,2021-07-27T22:28:34.248432Z
M2K,2021-07-27T22:27:03.918248Z
MES,2021-07-27T22:26:09.642676Z
MNQ,2021-07-27T22:25:30.134371Z
IWM,2021-07-26T21:29:51.928630Z
SPY,2021-07-26T21:28:27.924789Z
QQQ,2021-07-26T21:27:16.451694Z
ARKX,2021-07-26T21:26:10.190400Z
ARKF,2021-07-26T21:25:04.019675Z
ARKK,2021-07-26T21:23:52.540620Z
M2K,2021-07-26T21:22:28.231775Z
MES,2021-07-26T21:21:28.046931Z
MNQ,2021-07-26T21:21:00.495924Z
IWM,2021-07-23T21:32:49.020563Z
SPY,2021-07-23T21:31:36.418439Z
QQQ,2021-07-23T21:30:31.311736Z
ARKX,2021-07-23T21:29:25.238018Z
ARKF,2021-07-23T21:28:24.082309Z
ARKK,2021-07-23T21:26:48.452314Z
M2K,2021-07-23T21:25:36.942533Z
MES,2021-07-23T21:23:42.797912Z
MNQ,2021-07-23T21:21:55.134043Z
IWM,2021-07-22T21:48:33.686366Z
SPY,2021-07-22T21:46:57.717332Z
QQQ,2021-07-22T21:45:46.027482Z
ARKX,2021-07-22T21:44:39.713650Z
ARKF,2021-07-22T21:43:33.772549Z
ARKK,2021-07-22T21:42:34.017119Z
M2K,2021-07-22T21:40:57.736240Z
MES,2021-07-22T21:40:09.720469Z
MNQ,2021-07-22T21:39:30.248218Z
IWM,2021-07-21T21:37:36.812177Z
SPY,2021-07-21T21:36:07.980130Z
QQQ,2021-07-21T21:35:02.109579Z
ARKX,2021-07-21T21:33:55.971467Z
ARKF,2021-07-21T21:32:49.887800Z
ARKK,2021-07-21T21:31:32.216601Z
M2K,2021-07-21T21:30:07.956219Z
MES,2021-07-21T21:29:13.902559Z
MNQ,2021-07-21T21:28:26.219186Z
IWM,2021-07-20T21:32:04.569687Z
SPY,2021-07-20T21:30:40.558275Z
QQQ,2021-07-20T21:29:34.763239Z
ARKX,2021-07-20T21:28:28.490852Z
